index,Job Title,job_title_sim,Company Name,Location City,Location State,Size,Type of ownership,Industry,Sector,Lower Salary,Upper Salary,Avg Salary(K),Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Salary Estimate,Rating
86,Staff Data Scientist - Technology,Data Scientist,Walmart,Plano, TX,10000+,Company - Public,"Department, Clothing, & Shoe Stores",Retail,106,172,139,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,$106K-$172K (Glassdoor est.),3.2
87,Data Scientist,Data Scientist,Logic20/20,San Jose, CA,201 - 500,Company - Private,Consulting,Business Services,86,142,114,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,$86K-$142K (Glassdoor est.),3.8
88,Data Scientist,Data Scientist,goTRG,Miami, FL,501 - 1000,Company - Private,Enterprise Software & Network Solutions,Information Technology,64,107,85.5,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,$64K-$107K (Glassdoor est.),4.2
89,E-Commerce Data Analyst,Data Analyst,iSeatz,New Orleans, LA,51 - 200,Company - Private,Enterprise Software & Network Solutions,Information Technology,34,62,48,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,$34K-$62K (Glassdoor est.),3.5
90,Sr. Scientist II,Other Scientist,Nektar Therapeutics,San Francisco, CA,201 - 500,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,117,231,174,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$117K-$231K (Glassdoor est.),3.5
91,Insurance Data Scientist,Data Scientist,TransUnion,Atlanta, GA,5001 - 10000,Company - Public,Financial Analytics & Research,Finance,64,106,85,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,$64K-$106K (Glassdoor est.),3.9
92,Data Modeler,Data Modeler,IT Concepts,Landover, MD,51 - 200,Company - Private,IT Services,Information Technology,79,134,106.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$79K-$134K (Glassdoor est.),4.7
93,Data Analyst / Scientist,Data Analyst,Scientific Research Corporation,Patuxent River, MD,1001 - 5000,Company - Private,IT Services,Information Technology,52,93,72.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$52K-$93K (Glassdoor est.),4.2
94,Scientist,Other Scientist,General Dynamics Information Technology,Suitland, MD,10000+,Subsidiary or Business Segment,IT Services,Information Technology,55,116,85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$55K-$116K (Glassdoor est.),3.4
95,Data Scientist,Data Scientist,MITRE,McLean, VA,5001 - 10000,Nonprofit Organization,Federal Agencies,Government,72,123,97.5,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,$72K-$123K (Glassdoor est.),3.2
96,Data Scientist,Data Scientist,The Buffalo Group,Fort Belvoir, VA,501 - 1000,Company - Private,IT Services,Information Technology,74,124,99,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,$74K-$124K (Glassdoor est.),3.9
97,Data Analyst,Data Analyst,DentaQuest,Milwaukee, WI,1001 - 5000,Company - Private,Insurance Carriers,Insurance,40,73,56.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,$40K-$73K (Glassdoor est.),3.1
98,Lead Data Scientist,Data Scientist,Redjack,Silver Spring, MD,1 - 50,Company - Private,IT Services,Information Technology,102,164,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$102K-$164K (Glassdoor est.),4.1
99,Data Scientist,Data Scientist,7Park Data,New York, NY,51 - 200,Company - Private,Research & Development,Business Services,89,153,121,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,$89K-$153K (Glassdoor est.),3.8
100,Data Scientist,Data Scientist,Rapid Response Monitoring,Syracuse, NY,501 - 1000,Company - Private,Security Services,Business Services,61,110,85.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,$61K-$110K (Glassdoor est.),4.7
